ip,description,category
173.245.48.0/20,cloudflare-v4,CloudFlare
103.21.244.0/22,cloudflare-v4,CloudFlare
103.22.200.0/22,cloudflare-v4,CloudFlare
103.31.4.0/22,cloudflare-v4,CloudFlare
141.101.64.0/18,cloudflare-v4,CloudFlare
108.162.192.0/18,cloudflare-v4,CloudFlare
190.93.240.0/20,cloudflare-v4,CloudFlare
188.114.96.0/20,cloudflare-v4,CloudFlare
197.234.240.0/22,cloudflare-v4,CloudFlare
198.41.128.0/17,cloudflare-v4,CloudFlare
162.158.0.0/15,cloudflare-v4,CloudFlare
104.16.0.0/13,cloudflare-v4,CloudFlare
104.24.0.0/14,cloudflare-v4,CloudFlare
172.64.0.0/13,cloudflare-v4,CloudFlare
131.0.72.0/22,cloudflare-v4,CloudFlare
