ip,description,category
23.235.32.0/20,fastly-v4,Fastly
43.249.72.0/22,fastly-v4,Fastly
103.244.50.0/24,fastly-v4,Fastly
103.245.222.0/23,fastly-v4,Fastly
103.245.224.0/24,fastly-v4,Fastly
104.156.80.0/20,fastly-v4,Fastly
140.248.64.0/18,fastly-v4,Fastly
140.248.128.0/17,fastly-v4,Fastly
146.75.0.0/17,fastly-v4,Fastly
151.101.0.0/16,fastly-v4,Fastly
157.52.64.0/18,fastly-v4,Fastly
167.82.0.0/17,fastly-v4,Fastly
167.82.128.0/20,fastly-v4,Fastly
167.82.160.0/20,fastly-v4,Fastly
167.82.224.0/20,fastly-v4,Fastly
172.111.64.0/18,fastly-v4,Fastly
185.31.16.0/22,fastly-v4,Fastly
199.27.72.0/21,fastly-v4,Fastly
199.232.0.0/16,fastly-v4,Fastly
