ip,description,category
2a0a:a440::/29,github-hooks,Github
2606:50c0::/32,github-hooks,Github
2a0a:a440::/29,github-web,Github
2606:50c0::/32,github-web,Github
2a0a:a440::/29,github-api,Github
2606:50c0::/32,github-api,Github
2a0a:a440::/29,github-git,Github
2606:50c0::/32,github-git,Github
2a0a:a440::/29,github-enterprise-importer,Github
2606:50c0::/32,github-enterprise-importer,Github
2606:50c0:8000::153/128,github-pages,Github
2606:50c0:8001::153/128,github-pages,Github
2606:50c0:8002::153/128,github-pages,Github
2606:50c0:8003::153/128,github-pages,Github
2602:fd5e:1::/63,github-actions,Github
2602:fd5e:1:2::/64,github-actions,Github
2603:1020::/47,github-actions,Github
2603:1020:2::/48,github-actions,Github
2603:1020:4::/48,github-actions,Github
2603:1020:5::/48,github-actions,Github
2603:1020:6::/48,github-actions,Github
2603:1020:200::/46,github-actions,Github
2603:1020:205::/48,github-actions,Github
2603:1020:206::/47,github-actions,Github
2603:1020:208::/56,github-actions,Github
2603:1026:900:4::/63,github-actions,Github
2603:1026:900:6::/64,github-actions,Github
2603:1026:900:7::/64,github-actions,Github
2603:1026:900:8::/63,github-actions,Github
2603:1026:900:1a::/63,github-actions,Github
2603:1026:900:1c::/64,github-actions,Github
2603:1026:900:1d::/64,github-actions,Github
2603:1026:900:1e::/63,github-actions,Github
2603:1026:2404::/48,github-actions,Github
2603:1026:2405::/48,github-actions,Github
2603:1026:2500:24::/64,github-actions,Github
2603:1026:3000:c0::/59,github-actions,Github
2603:1026:3000:140::/59,github-actions,Github
2603:1027:1:c0::/59,github-actions,Github
2603:1027:1:140::/59,github-actions,Github
2603:1030::/45,github-actions,Github
2603:1030:9:2::/63,github-actions,Github
2603:1030:9:4::/62,github-actions,Github
2603:1030:9:8::/61,github-actions,Github
2603:1030:9:10::/62,github-actions,Github
2603:1030:9:14::/63,github-actions,Github
2603:1030:9:17::/64,github-actions,Github
2603:1030:9:18::/61,github-actions,Github
2603:1030:9:20::/59,github-actions,Github
2603:1030:9:40::/58,github-actions,Github
2603:1030:9:80::/59,github-actions,Github
2603:1030:9:a0::/60,github-actions,Github
2603:1030:9:b3::/64,github-actions,Github
2603:1030:9:b4::/63,github-actions,Github
2603:1030:9:b7::/64,github-actions,Github
2603:1030:9:b8::/63,github-actions,Github
2603:1030:9:bd::/64,github-actions,Github
2603:1030:9:be::/63,github-actions,Github
2603:1030:9:c0::/58,github-actions,Github
2603:1030:9:100::/64,github-actions,Github
2603:1030:9:104::/62,github-actions,Github
2603:1030:9:108::/62,github-actions,Github
2603:1030:9:10c::/64,github-actions,Github
2603:1030:9:111::/64,github-actions,Github
2603:1030:9:112::/63,github-actions,Github
2603:1030:9:114::/64,github-actions,Github
2603:1030:9:118::/62,github-actions,Github
2603:1030:9:11c::/63,github-actions,Github
2603:1030:9:11f::/64,github-actions,Github
2603:1030:9:120::/61,github-actions,Github
2603:1030:9:128::/62,github-actions,Github
2603:1030:9:12f::/64,github-actions,Github
2603:1030:9:130::/60,github-actions,Github
2603:1030:9:140::/59,github-actions,Github
2603:1030:9:160::/61,github-actions,Github
2603:1030:9:168::/62,github-actions,Github
2603:1030:9:16f::/64,github-actions,Github
2603:1030:9:170::/60,github-actions,Github
2603:1030:9:180::/61,github-actions,Github
2603:1030:9:18c::/62,github-actions,Github
2603:1030:9:190::/60,github-actions,Github
2603:1030:9:1a0::/59,github-actions,Github
2603:1030:9:1c0::/60,github-actions,Github
2603:1030:9:1d0::/62,github-actions,Github
2603:1030:9:1d4::/63,github-actions,Github
2603:1030:9:1d6::/64,github-actions,Github
2603:1030:9:1db::/64,github-actions,Github
2603:1030:9:1dc::/62,github-actions,Github
2603:1030:9:1e0::/59,github-actions,Github
2603:1030:9:200::/57,github-actions,Github
2603:1030:9:280::/61,github-actions,Github
2603:1030:9:288::/62,github-actions,Github
2603:1030:9:28d::/64,github-actions,Github
2603:1030:9:28e::/63,github-actions,Github
2603:1030:9:290::/60,github-actions,Github
2603:1030:9:2a0::/59,github-actions,Github
2603:1030:9:2c0::/63,github-actions,Github
2603:1030:9:2c2::/64,github-actions,Github
2603:1030:9:2c4::/62,github-actions,Github
2603:1030:9:2c8::/62,github-actions,Github
2603:1030:9:2cc::/63,github-actions,Github
2603:1030:9:2d4::/62,github-actions,Github
2603:1030:9:2d8::/61,github-actions,Github
2603:1030:9:2e0::/59,github-actions,Github
2603:1030:9:300::/60,github-actions,Github
2603:1030:9:310::/62,github-actions,Github
