ip,description,category
23.32.0.0/11,akamai-v4,Akamai
23.192.0.0/11,akamai-v4,Akamai
2.16.0.0/13,akamai-v4,Akamai
104.64.0.0/10,akamai-v4,Akamai
184.24.0.0/13,akamai-v4,Akamai
23.0.0.0/12,akamai-v4,Akamai
95.100.0.0/15,akamai-v4,Akamai
92.122.0.0/15,akamai-v4,Akamai
184.50.0.0/15,akamai-v4,Akamai
88.221.0.0/16,akamai-v4,Akamai
23.64.0.0/14,akamai-v4,Akamai
72.246.0.0/15,akamai-v4,Akamai
96.16.0.0/15,akamai-v4,Akamai
96.6.0.0/15,akamai-v4,Akamai
69.192.0.0/16,akamai-v4,Akamai
23.72.0.0/13,akamai-v4,Akamai
173.222.0.0/15,akamai-v4,Akamai
118.214.0.0/16,akamai-v4,Akamai
184.84.0.0/14,akamai-v4,Akamai
